"","state","county","GEO_ID","S2201_C01_021E","S2201_C01_021EA","S2201_C03_001E","S2201_C03_001EA","S2201_C01_001E","S2201_C01_001EA","year"
"313","48","383","0500000US48383",163,NA,36,NA,1190,NA,2016
"314","48","501","0500000US48501",353,NA,147,NA,2674,NA,2016
"315","48","189","0500000US48189",2154,NA,1954,NA,11335,NA,2016
"316","48","419","0500000US48419",1936,NA,1657,NA,9120,NA,2016
"317","48","387","0500000US48387",930,NA,700,NA,5163,NA,2016
"318","48","399","0500000US48399",615,NA,459,NA,3792,NA,2016
"319","48","435","0500000US48435",138,NA,138,NA,1481,NA,2016
"320","48","451","0500000US48451",5831,NA,4992,NA,43311,NA,2016
"321","48","469","0500000US48469",4403,NA,3816,NA,32513,NA,2016
"322","48","481","0500000US48481",2455,NA,2028,NA,14979,NA,2016
"323","48","485","0500000US48485",8565,NA,6725,NA,48615,NA,2016
"324","48","033","0500000US48033",13,NA,5,NA,251,NA,2016
"325","48","315","0500000US48315",1019,NA,924,NA,4387,NA,2016
"326","48","323","0500000US48323",4238,NA,5055,NA,16221,NA,2016
"327","48","181","0500000US48181",7145,NA,6561,NA,47161,NA,2016
"328","48","297","0500000US48297",481,NA,214,NA,3670,NA,2016
"329","48","363","0500000US48363",1901,NA,1488,NA,10416,NA,2016
"330","48","255","0500000US48255",984,NA,826,NA,4288,NA,2016
"331","48","123","0500000US48123",1253,NA,923,NA,7105,NA,2016
"332","48","059","0500000US48059",1095,NA,456,NA,5239,NA,2016
"333","48","067","0500000US48067",2150,NA,2006,NA,11770,NA,2016
"334","48","183","0500000US48183",7421,NA,6918,NA,45446,NA,2016
"335","48","313","0500000US48313",697,NA,575,NA,4121,NA,2016
"336","48","303","0500000US48303",19637,NA,14487,NA,109024,NA,2016
"337","48","257","0500000US48257",4666,NA,3912,NA,35739,NA,2016
"338","48","259","0500000US48259",845,NA,859,NA,13390,NA,2016
"339","48","153","0500000US48153",469,NA,537,NA,2444,NA,2016
"340","48","017","0500000US48017",361,NA,299,NA,2317,NA,2016
"341","48","385","0500000US48385",219,NA,96,NA,1192,NA,2016
"342","48","051","0500000US48051",886,NA,948,NA,6385,NA,2016
"343","48","355","0500000US48355",20738,NA,20955,NA,128133,NA,2016
"344","48","379","0500000US48379",512,NA,457,NA,4252,NA,2016
"345","48","431","0500000US48431",40,NA,19,NA,453,NA,2016
"346","48","065","0500000US48065",154,NA,135,NA,2324,NA,2016
"347","48","161","0500000US48161",1066,NA,1108,NA,7339,NA,2016
"348","48","117","0500000US48117",961,NA,868,NA,6081,NA,2016
"349","48","071","0500000US48071",1455,NA,731,NA,12967,NA,2016
"350","48","027","0500000US48027",16002,NA,15095,NA,113027,NA,2016
"351","48","061","0500000US48061",36930,NA,33303,NA,121290,NA,2016
"352","48","141","0500000US48141",56117,NA,60578,NA,261415,NA,2016
"353","48","283","0500000US48283",405,NA,374,NA,2101,NA,2016
"354","48","443","0500000US48443",102,NA,5,NA,396,NA,2016
"355","48","457","0500000US48457",1222,NA,1308,NA,7608,NA,2016
"356","48","483","0500000US48483",314,NA,196,NA,2330,NA,2016
"357","48","009","0500000US48009",294,NA,212,NA,3331,NA,2016
"358","48","043","0500000US48043",465,NA,522,NA,4014,NA,2016
"359","48","215","0500000US48215",68221,NA,70773,NA,227477,NA,2016
"360","48","423","0500000US48423",11405,NA,8849,NA,78040,NA,2016
"361","48","105","0500000US48105",377,NA,88,NA,1431,NA,2016
"362","48","207","0500000US48207",411,NA,462,NA,2193,NA,2016
"363","48","227","0500000US48227",1779,NA,1421,NA,11229,NA,2016
"364","48","333","0500000US48333",273,NA,104,NA,1875,NA,2016
"365","48","337","0500000US48337",1203,NA,930,NA,8083,NA,2016
"366","48","365","0500000US48365",1191,NA,1129,NA,8905,NA,2016
"367","48","403","0500000US48403",712,NA,378,NA,3682,NA,2016
"368","48","421","0500000US48421",133,NA,51,NA,1017,NA,2016
"369","48","437","0500000US48437",566,NA,437,NA,2630,NA,2016
"370","48","231","0500000US48231",5834,NA,5083,NA,31154,NA,2016
"371","48","063","0500000US48063",776,NA,804,NA,4544,NA,2016
"372","48","195","0500000US48195",309,NA,155,NA,1979,NA,2016
"373","48","187","0500000US48187",5175,NA,4079,NA,49930,NA,2016
"374","48","077","0500000US48077",635,NA,477,NA,4106,NA,2016
"375","48","205","0500000US48205",113,NA,147,NA,1812,NA,2016
"376","48","217","0500000US48217",2134,NA,2135,NA,12806,NA,2016
"377","48","293","0500000US48293",1474,NA,1026,NA,8046,NA,2016
"378","48","347","0500000US48347",5717,NA,3833,NA,23942,NA,2016
"379","48","369","0500000US48369",490,NA,326,NA,3219,NA,2016
"380","48","367","0500000US48367",3981,NA,3478,NA,43270,NA,2016
"381","48","377","0500000US48377",738,NA,787,NA,2565,NA,2016
"382","48","465","0500000US48465",3072,NA,3097,NA,14977,NA,2016
"383","48","109","0500000US48109",195,NA,159,NA,762,NA,2016
"384","48","135","0500000US48135",6172,NA,6392,NA,50950,NA,2016
"385","48","169","0500000US48169",185,NA,280,NA,1625,NA,2016
"386","48","173","0500000US48173",20,NA,8,NA,438,NA,2016
"387","48","185","0500000US48185",1568,NA,1397,NA,9000,NA,2016
"388","48","085","0500000US48085",22140,NA,11648,NA,314918,NA,2016
"389","48","005","0500000US48005",5461,NA,6070,NA,30495,NA,2016
"390","48","101","0500000US48101",178,NA,142,NA,679,NA,2016
"391","48","209","0500000US48209",10456,NA,5026,NA,64324,NA,2016
"392","48","039","0500000US48039",11989,NA,9859,NA,114290,NA,2016
"393","48","129","0500000US48129",200,NA,141,NA,1287,NA,2016
"394","48","013","0500000US48013",2255,NA,2419,NA,15343,NA,2016
"395","48","353","0500000US48353",998,NA,902,NA,5625,NA,2016
"396","48","229","0500000US48229",314,NA,254,NA,940,NA,2016
"397","48","475","0500000US48475",661,NA,427,NA,3926,NA,2016
"398","48","203","0500000US48203",4023,NA,3257,NA,23473,NA,2016
"399","48","327","0500000US48327",171,NA,197,NA,936,NA,2016
